Backbone,Dataset,Horizon,Channels,Protocol,TrainingPrecision,OptimizerBackend,SDPABackend,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,RawMeanAlpha,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,SegMoEBestEpoch,SegMoECommit,TestAnchors,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
SegMoE,SolarFull137,96,137,SolarFull137SegMoEOOFReranker36C,FP32,AdamW_nonfused,math_only,0.1891514878018879,0.1816166690072851,0.2329188753540613,0.2316961942819413,0.3434898059692718,0.1891514878018879,0.1816166690072851,0.1474634036517679,0.0,1.0,0.1783134586558114,0.1783134586558114,0.1515485306313068,0.1489241703453965,1.731696292255687,3.983483757999599,0.5249385951488057,0.9708029197080292,22.039522202322253,9,4,420fb3e22fea229ac685efb00dac0d222c8e48bf,10417,17.176734590530394,0.0016192058737919,0.013436405473025,True,False
SegMoE,SolarFull137,192,137,SolarFull137SegMoEOOFReranker36C,FP32,AdamW_nonfused,math_only,0.2246130578758383,0.2170937206005042,0.2581548513140255,0.2616276954900982,0.3526453559463884,0.2155297551210545,0.2170937206005042,0.1693382859884972,0.1,1.0,0.398643371817625,0.398643371817625,0.179531536309957,0.172816929399089,3.74007099191496,3.3476848347305985,-1.34525621284889,0.8248175182481752,24.6088862375472,20,4,420fb3e22fea229ac685efb00dac0d222c8e48bf,10321,33.19746206204096,8.751107766905242e-05,0.0153000834423237,True,False
SegMoE,SolarFull137,336,137,SolarFull137SegMoEOOFReranker36C,FP32,AdamW_nonfused,math_only,0.2744595423203432,0.2346752292664643,0.2860790616207758,0.2791711063036513,0.3684047832359767,0.244366261471304,0.2346752292664643,0.1888307090771831,0.2,1.0,0.4693251848685094,0.4693251848685094,0.2230209363945703,0.2029829965231961,8.984779723067298,14.495510965854288,2.41470147377708,1.0,31.199073101716387,15,4,420fb3e22fea229ac685efb00dac0d222c8e48bf,10177,31.38431182305018,0.0305250423758419,0.0490051878625548,True,False
SegMoE,SolarFull137,720,137,SolarFull137SegMoEOOFReranker36C,FP32,AdamW_nonfused,math_only,0.3898442804190498,0.2694233377692328,0.3370395128206296,0.3030038960742263,0.3698369298781008,0.2712035055469571,0.2694233377692328,0.2292442145904904,0.5,1.0,0.5973357910568597,0.5973357910568597,0.3409126266927164,0.2445496016713275,28.26619417304429,30.8894983710867,10.098405513811928,1.0,41.19595281888651,4,4,420fb3e22fea229ac685efb00dac0d222c8e48bf,9793,114.9264213601748,0.1080772260707041,0.1323034107496409,True,False

