Dataset,Backbone,Horizon,DirectMSE_final,FinalMSE_final,MSEGain_pct,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource
ETTh1,PatchTST,96,0.3786316784322797,0.3827615279870898,-1.0907300656695451,0.4003025335726233,0.4050318067579521,HistoricalRecovery,HistoricalRecovery
ETTh1,PatchTST,192,0.4136943163724244,0.4206310595900976,-1.6767799177179168,0.420977502773663,0.4291802018568935,HistoricalRecovery,HistoricalRecovery
ETTh1,PatchTST,336,0.4419843267652349,0.4484677668643702,-1.466893667154631,0.4414341190750536,0.4489392161954034,HistoricalRecovery,HistoricalRecovery
ETTh1,PatchTST,720,0.4615096175155673,0.4796535043598817,-3.931421178606831,0.4738671277080254,0.4896009953455276,HistoricalRecovery,HistoricalRecovery
ETTh1,SegMoE,96,0.4296767951906189,0.4342006546445458,-1.0528517026198552,0.4379326154902014,0.4417802844073558,Experiment37Selected,Experiment37Selected
ETTh1,SegMoE,192,0.4816947292812827,0.4926025609791352,-2.2644698052078662,0.4730623077221267,0.48006851514093,Experiment37Selected,Experiment37Selected
ETTh1,SegMoE,336,0.5353943558625719,0.5476472182995222,-2.288567726346274,0.5056120480765447,0.5127866768812056,Experiment37Selected,Experiment37Selected
ETTh1,SegMoE,720,0.6573501804433955,0.7020252930235016,-6.796242536964361,0.5717583618412764,0.5938950131121459,Experiment37Selected,Experiment37Selected
ETTh1,TimeMixer,96,0.3888394201434738,0.3910450029140804,-0.5672220089703875,0.4021625622588466,0.4048184387906245,HistoricalRecovery,HistoricalRecovery
ETTh1,TimeMixer,192,0.4422553025672792,0.4450863036314942,-0.6401282353837575,0.4296011795462509,0.4358024347049911,HistoricalRecovery,HistoricalRecovery
ETTh1,TimeMixer,336,0.5179183060825632,0.5258418226389279,-1.5298776782571537,0.4746646362759863,0.4840476711889016,HistoricalRecovery,HistoricalRecovery
ETTh1,TimeMixer,720,0.5121868419430764,0.5444491793842229,-6.298939136888656,0.4847439881686903,0.5135535739534901,HistoricalRecovery,HistoricalRecovery
ETTh1,iTransformer,96,0.3923034664381362,0.3942814506627947,-0.5041974883926799,0.4073341382510888,0.4107916909669764,HistoricalRecovery,HistoricalRecovery
ETTh1,iTransformer,192,0.4426393129427489,0.449096304003759,-1.4587477596788287,0.4347371311961573,0.4426688007809441,HistoricalRecovery,HistoricalRecovery
ETTh1,iTransformer,336,0.4892628318326041,0.498000449354748,-1.7858739625521758,0.4614567762732549,0.4733257815919528,HistoricalRecovery,HistoricalRecovery
ETTh1,iTransformer,720,0.5065068663584659,0.5362692136984412,-5.876000764600067,0.4928942498363393,0.5159122159523901,HistoricalRecovery,HistoricalRecovery
Electricity,PatchTST,96,0.1296379187669977,0.1285494704724705,0.839606424477914,0.2227903287574926,0.2227182700745092,Experiment37Selected,Experiment37Selected
Electricity,PatchTST,192,0.148801832390281,0.1481384596814341,0.445809502605422,0.2426373333978889,0.2429543635630196,Experiment37Selected,Experiment37Selected
Electricity,PatchTST,336,0.1653115366389711,0.1639545161763496,0.8208867270921726,0.2592837069076097,0.2593299005846275,Experiment37Selected,Experiment37Selected
Electricity,PatchTST,720,0.2028593432612604,0.2042231810770793,-0.6723071236913386,0.2917692096710881,0.2931043773197361,Experiment37Selected,Experiment37Selected
Electricity,SegMoE,96,0.1310534728391639,0.130372734604499,0.519435479211152,0.225168733502784,0.2253892782407869,Experiment37Selected,Experiment37Selected
Electricity,SegMoE,192,0.1487835852561396,0.148368950057832,0.2786834297572532,0.2420533501093928,0.2421817553247262,Experiment37Selected,Experiment37Selected
Electricity,SegMoE,336,0.166728684018765,0.1662401201674203,0.2930292734090838,0.2612688590206781,0.2614591146115718,Experiment37Selected,Experiment37Selected
Electricity,SegMoE,720,0.2109205730183504,0.2101883379519447,0.3471615195839518,0.3013443849486819,0.3020732212234451,Experiment37Selected,Experiment37Selected
