Dataset,Backbone,Horizon,MSEGain_pct,DirectMSE,FinalMSE,DirectMAE,FinalMAE,MSESource,MAESource,DirectMSE_recovered,FinalMSE_recovered,DirectMAE_recovered,FinalMAE_recovered,RecoverySource,RecoveredGain_pct,GainMismatch,DirectMSE_final,FinalMSE_final,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource,AbsoluteMSEImprovement,RecomputedMSEGain_pct,GainConsistencyError
ETTh1,iTransformer,336,-1.7858739625521758,0.4892628318326041,,0.4614567762732549,,Missing,Missing,0.4892628318326041,0.498000449354748,0.4614567762732549,0.4733257815919528,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-1.7858739625521758,0.0,0.4892628318326041,0.498000449354748,0.4614567762732549,0.4733257815919528,HistoricalRecovery,HistoricalRecovery,-0.008737617522143915,-1.7858739625521758,0.0
ETTh1,iTransformer,720,-5.876000764600067,0.5065068663584659,,0.4928942498363393,,Missing,Missing,0.5065068663584659,0.5362692136984412,0.4928942498363393,0.5159122159523901,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-5.876000764600066,8.881784197001252e-16,0.5065068663584659,0.5362692136984412,0.4928942498363393,0.5159122159523901,HistoricalRecovery,HistoricalRecovery,-0.029762347339975292,-5.876000764600066,8.881784197001252e-16
Electricity,PatchTST,96,0.839606424477914,0.1296379187669977,0.1285494704724705,0.2227903287574926,0.2227182700745092,Experiment37Selected,Experiment37Selected,0.1461493670305693,0.144746456672469,0.2427620335985437,0.2426022639463854,/data/dataset/strong_forecaster/relevance_to_forecasting_meta_analysis/all_48_conditions.csv,0.9599154526662215,0.12030902818830747,0.1296379187669977,0.1285494704724705,0.2227903287574926,0.2227182700745092,Experiment37Selected,Experiment37Selected,0.0010884482945272,0.8396064244779354,2.142730437526552e-14
Electricity,PatchTST,192,0.445809502605422,0.148801832390281,0.1481384596814341,0.2426373333978889,0.2429543635630196,Experiment37Selected,Experiment37Selected,0.1491163162214431,0.1485586336161737,0.2420375754729463,0.2422673599581886,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.37399167267600875,0.07181782992941327,0.148801832390281,0.1481384596814341,0.2426373333978889,0.2429543635630196,Experiment37Selected,Experiment37Selected,0.0006633727088468933,0.4458095026054407,1.8707257964933888e-14
Electricity,PatchTST,336,0.8208867270921726,0.1653115366389711,0.1639545161763496,0.2592837069076097,0.2593299005846275,Experiment37Selected,Experiment37Selected,0.1656902194111266,0.1647476041425757,0.2586938169303996,0.2590260727348346,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.5689021789584353,0.2519845481337373,0.1653115366389711,0.1639545161763496,0.2592837069076097,0.2593299005846275,Experiment37Selected,Experiment37Selected,0.001357020462621511,0.8208867270922231,5.051514762044462e-14
Electricity,PatchTST,720,-0.6723071236913386,0.2028593432612604,0.2042231810770793,0.2917692096710881,0.2931043773197361,Experiment37Selected,Experiment37Selected,0.2219725803835502,0.2223216239979416,0.3156196600025338,0.3181496466051161,/data/dataset/strong_forecaster/relevance_to_forecasting_meta_analysis/all_48_conditions.csv,-0.15724627509770522,0.5150608485936334,0.2028593432612604,0.2042231810770793,0.2917692096710881,0.2931043773197361,Experiment37Selected,Experiment37Selected,-0.0013638378158188913,-0.672307123691325,1.3655743202889425e-14
Electricity,SegMoE,96,0.519435479211152,0.1310534728391639,0.130372734604499,0.225168733502784,0.2253892782407869,Experiment37Selected,Experiment37Selected,,,,,,,,0.1310534728391639,0.130372734604499,0.225168733502784,0.2253892782407869,Experiment37Selected,Experiment37Selected,0.0006807382346649127,0.5194354792111098,4.218847493575595e-14
Electricity,SegMoE,192,0.2786834297572532,0.1487835852561396,0.148368950057832,0.2420533501093928,0.2421817553247262,Experiment37Selected,Experiment37Selected,,,,,,,,0.1487835852561396,0.148368950057832,0.2420533501093928,0.2421817553247262,Experiment37Selected,Experiment37Selected,0.00041463519830761686,0.2786834297572533,1.1102230246251565e-16
Electricity,SegMoE,336,0.2930292734090838,0.166728684018765,0.1662401201674203,0.2612688590206781,0.2614591146115718,Experiment37Selected,Experiment37Selected,,,,,,,,0.166728684018765,0.1662401201674203,0.2612688590206781,0.2614591146115718,Experiment37Selected,Experiment37Selected,0.0004885638513447144,0.2930292734090838,0.0
Electricity,SegMoE,720,0.3471615195839518,0.2109205730183504,0.2101883379519447,0.3013443849486819,0.3020732212234451,Experiment37Selected,Experiment37Selected,,,,,,,,0.2109205730183504,0.2101883379519447,0.3013443849486819,0.3020732212234451,Experiment37Selected,Experiment37Selected,0.000732235066405712,0.34716151958396513,1.3322676295501878e-14
