Dataset,RetrievalGain_pct,QuerySpecificGain_pct,PriorGain_pct,DownstreamMeanGain_pct,DownstreamWins,DownstreamLosses,DownstreamTies
ETTh1,14.75249355950011,21.105154182624673,7.92391347656152,-2.451808977188187,0,16,0
Electricity,14.663880167991094,25.22323851744503,14.098585631642827,0.5230863153855059,15,1,0
Exchange,-2.205708082317794,-2.170175987851838,39.61885466154601,0.11049724962654653,1,0,15
Solar,24.53154660182194,65.05899889660623,-55.30936244602656,7.9923404928276724,16,0,0
Traffic,1.8113238465621153,19.07312311635218,-3.235724866167585,0.08177510956154921,14,2,0
Weather,10.133244048800135,-10.70683414972843,65.09646425885254,2.5258864064151205,16,0,0

