Dataset,Backbone,Horizon,MSEGain_pct,Final_CI_Low,Final_CI_High,SignClass,SignificanceSource
Solar,iTransformer,336,13.990738069330709,0.0279031321260951,0.0436907334548777,positive,HistoricalRecovery
Solar,iTransformer,720,10.861390501766945,0.0202486235284537,0.0351776749213662,positive,HistoricalRecovery
Traffic,PatchTST,96,0.0396005749991415,-8.998621978824031e-06,0.0003263104207095,nonsignificant,Experiment37Selected
Traffic,PatchTST,192,0.0627400133290118,0.0001432359989037,0.000341904527691,positive,Experiment37Selected
Traffic,PatchTST,336,0.0381979725126247,7.890919913187637e-05,0.0002210197876933,positive,Experiment37Selected
Traffic,PatchTST,720,0.0117000498058502,2.879157165508195e-05,7.541298161018017e-05,positive,Experiment37Selected
Traffic,SegMoE,96,0.0318602259029182,7.018633863547313e-05,0.0001648994383707,positive,Experiment37Selected
Traffic,SegMoE,192,0.0143805768175281,3.434242880017347e-05,7.396870985389079e-05,positive,Experiment37Selected
Traffic,SegMoE,336,0.0079347833492626,2.35239310930326e-05,3.863932829605004e-05,positive,Experiment37Selected
Traffic,SegMoE,720,0.0343553005403035,0.0001223098990223,0.0001817641366378,positive,Experiment37Selected
Traffic,TimeMixer,96,0.1078037743318605,0.000100636323098,0.0009512982073895,positive,Experiment37Selected
Traffic,TimeMixer,192,0.1951055176391097,0.0005295504072109,0.001469989402182,positive,Experiment37Selected
Traffic,TimeMixer,336,0.1739043351429163,0.0005792059401138,0.0012731626780108,positive,Experiment37Selected
Traffic,TimeMixer,720,-0.0056374231598761,-0.0003174320843729,0.0002594643869187,nonsignificant,Experiment37Selected
Traffic,iTransformer,96,0.3440376151191087,0.0009699458819032,0.0019120549013057,positive,Experiment37Selected
Traffic,iTransformer,192,0.1609932742243773,0.0001213927029718,0.0012828366857337,positive,Experiment37Selected
Traffic,iTransformer,336,-0.274876714418689,-0.001933325901557,-0.0005872458261794,negative,Experiment37Selected
Traffic,iTransformer,720,0.3663018768493395,0.0011894640042261,0.0022837363915466,positive,Experiment37Selected
Weather,PatchTST,96,1.503275177115733,0.0013200072192939,0.003172379040085,positive,Experiment37Selected
Weather,PatchTST,192,2.203906908701543,0.0033191660582186,0.0053250933267161,positive,Experiment37Selected
Weather,PatchTST,336,2.26715573421446,0.0042417223366676,0.006881610397222,positive,Experiment37Selected
Weather,PatchTST,720,2.128002822003059,0.0053686617693034,0.0083407865780123,positive,Experiment37Selected
Weather,SegMoE,96,1.3006559939347015,0.0012840110393216,0.0025082882918067,positive,Experiment37Selected
Weather,SegMoE,192,1.9536379213667945,0.0028205900133156,0.0046678610864583,positive,Experiment37Selected
Weather,SegMoE,336,2.533651817423899,0.0047785049982347,0.0075513030164717,positive,Experiment37Selected
Weather,SegMoE,720,2.446978941953745,0.0063654657503937,0.0093697113500734,positive,Experiment37Selected
Weather,TimeMixer,96,1.0122338388547292,0.0012405691624161,0.0020626194036752,positive,Experiment37Selected
Weather,TimeMixer,192,1.508427917066144,0.0026417411654913,0.0037207663440475,positive,Experiment37Selected
Weather,TimeMixer,336,1.7426193912560282,0.0039345722863748,0.0052902487099319,positive,Experiment37Selected
Weather,TimeMixer,720,2.9946186282597944,0.0089689893712519,0.0116849072946732,positive,Experiment37Selected
Weather,iTransformer,96,4.201640517278116,0.0055873786645394,0.0090507621280194,positive,Experiment37Selected
Weather,iTransformer,192,4.471502166601046,0.0083672566486209,0.0120793742513817,positive,Experiment37Selected
Weather,iTransformer,336,4.336659488185296,0.010365806689465,0.014489947161785,positive,Experiment37Selected
Weather,iTransformer,720,3.80921523842684,0.0118178691241374,0.0155994228837924,positive,Experiment37Selected

