Dataset,Backbone,Horizon,ProtocolFamily,ExperimentFamily,Direct_MSE,Final_MSE,MSEGain_pct,Direct_MAE,Final_MAE,MAEGain_pct,FinalMeanAlpha,OracleHeadroom_pct,ValidationGain_pct,CI_Low,CI_High,SignificantPositive,SignificantNegative,SourcePath,SourceScore,RecoveredFamilyBonus,FinalSourceScore,SelectedHasCI,CI_Low_recovered,CI_High_recovered,SigPositive_recovered,SigNegative_recovered,BlockLen_recovered,Replicates_recovered,RecoveredSourcePath,RecoveredSourcePriority,Final_CI_Low,Final_CI_High,Final_SignificantPositive,Final_SignificantNegative,SignificanceSource,HasFinalCI,SignClass,ObservedDirection
ETTh1,TimeMixer,336,other,three_backbone_integrated_evidence,0.5179183060825632,,-1.5298776782571537,0.4746646362759863,,-1.9767714288830307,,7.404969502205126,,-0.0117247207541831,-0.0040465265901828,False,True,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,80,10000,10080,True,-0.0117247207541831,-0.0040465265901828,False,True,,,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,3.0,-0.0117247207541831,-0.0040465265901828,False,True,Experiment37Selected,True,negative,loss
ETTh1,TimeMixer,720,other,three_backbone_integrated_evidence,0.5121868419430764,,-6.298939136888656,0.4847439881686903,,-5.943257985238614,,7.503382130008345,,-0.0392437507120451,-0.0251743536792464,False,True,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,80,10000,10080,True,-0.0392437507120451,-0.0251743536792464,False,True,,,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,3.0,-0.0392437507120451,-0.0251743536792464,False,True,Experiment37Selected,True,negative,loss
ETTh1,iTransformer,96,other,cross_backbone_integrated_evidence,0.3923034664381362,,-0.5041974883926799,0.4073341382510888,,-0.8488246849951718,,7.592272749919635,,-0.0042857081927961,0.0004483436554322,False,False,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,0,10000,10000,True,-0.0042857081927961,0.0004483436554322,False,False,,,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,3.0,-0.0042857081927961,0.0004483436554322,False,False,Experiment37Selected,True,nonsignificant,loss
ETTh1,iTransformer,192,other,cross_backbone_integrated_evidence,0.4426393129427489,,-1.4587477596788287,0.4347371311961573,,-1.824474841374422,,6.657511723409277,,-0.0095148248674868,-0.0028942879671753,False,True,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,0,10000,10000,True,-0.0095148248674868,-0.0028942879671753,False,True,,,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,3.0,-0.0095148248674868,-0.0028942879671753,False,True,Experiment37Selected,True,negative,loss
ETTh1,iTransformer,336,other,cross_backbone_integrated_evidence,0.4892628318326041,,-1.7858739625521758,0.4614567762732549,,-2.572073036732184,,7.135020512667676,,-0.0126721965439602,-0.0045959066848448,False,True,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,0,10000,10000,True,-0.0126721965439602,-0.0045959066848448,False,True,,,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,3.0,-0.0126721965439602,-0.0045959066848448,False,True,Experiment37Selected,True,negative,loss
ETTh1,iTransformer,720,other,cross_backbone_integrated_evidence,0.5065068663584659,,-5.876000764600067,0.4928942498363393,,-4.669960366487076,,6.8696641803238885,,-0.0357953809577521,-0.0236114886063136,False,True,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,0,10000,10000,True,-0.0357953809577521,-0.0236114886063136,False,True,,,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,3.0,-0.0357953809577521,-0.0236114886063136,False,True,Experiment37Selected,True,negative,loss
Electricity,PatchTST,96,full321_oof,electricity_full321_oof_patchtst_h96_192_336_720,0.1296379187669977,0.1285494704724705,0.839606424477914,0.2227903287574926,0.2227182700745092,0.0323437212850909,0.0197260369375685,7.586264154027347,,0.0006280292569148,0.0016438898432274,True,False,/data/dataset/strong_forecaster/electricity_full321_oof_patchtst_h96_192_336_720/patchtst_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,0.0006757356849609,0.0022757506499649,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0006280292569148,0.0016438898432274,True,False,Experiment37Selected,True,positive,win
Electricity,PatchTST,192,full321_oof,electricity_full321_oof_patchtst_h96_192_336_720,0.148801832390281,0.1481384596814341,0.445809502605422,0.2426373333978889,0.2429543635630196,-0.1306600928599661,0.0215132595374047,5.6170516123321255,,0.0003202408222927,0.0010738589266793,True,False,/data/dataset/strong_forecaster/electricity_full321_oof_patchtst_h96_192_336_720/patchtst_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,0.0001961056224988,0.000423250422815,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0003202408222927,0.0010738589266793,True,False,Experiment37Selected,True,positive,win
Electricity,PatchTST,336,full321_oof,electricity_full321_oof_patchtst_h96_192_336_720,0.1653115366389711,0.1639545161763496,0.8208867270921726,0.2592837069076097,0.2593299005846275,-0.0178158811321713,0.0225199933919745,6.237336507517889,,0.0010078441653835,0.0017841751757006,True,False,/data/dataset/strong_forecaster/electricity_full321_oof_patchtst_h96_192_336_720/patchtst_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,-9.052388286832624e-05,0.0002113923794273,False,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0010078441653835,0.0017841751757006,True,False,Experiment37Selected,True,positive,win
Electricity,PatchTST,720,full321_oof,electricity_full321_oof_patchtst_h96_192_336_720,0.2028593432612604,0.2042231810770793,-0.6723071236913386,0.2917692096710881,0.2931043773197361,-0.4576108802409723,0.0345298120074806,7.844976690570999,,-0.0031200680794779,0.0004544456200409,False,False,/data/dataset/strong_forecaster/electricity_full321_oof_patchtst_h96_192_336_720/patchtst_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,-0.0006829013511049,3.451194086674978e-06,False,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,-0.0031200680794779,0.0004544456200409,False,False,Experiment37Selected,True,nonsignificant,loss
