Backbone,Dataset,Horizon,Channels,Protocol,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,RetrieverSource,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
TimeMixer,TrafficFull862,96,862,TrafficFull862TimeMixerOOFDiagnostic35C,0.4759760206865044,0.4754629005712898,0.3027581799002423,0.3022218785471851,3.1582835701331136,0.4759760206865044,0.4755928431097149,0.4529831685137084,0.0,0.75,0.0271721439755916,0.4095794155699409,0.4088634696593208,0.1748002666647375,0.1078037743318605,0.1771385180192245,0.8422273781902552,4.83067448222145,1,35A,83.53347834746043,0.000100636323098,0.0009512982073895,True,False
TimeMixer,TrafficFull862,192,862,TrafficFull862TimeMixerOOFDiagnostic35D,0.4850800259496363,0.4841336080540434,0.3087460092251914,0.3080588909806448,3.3238172014802023,0.4850800259496363,0.4841336080540434,0.4665292461101583,0.0,1.0,0.036171913847906,0.4047331345353478,0.4039168426948571,0.2016864375158948,0.1951055176391097,0.2225512958923544,0.8932714617169374,3.824272047310417,2,35B,90.3080350836118,0.0005295504072109,0.001469989402182,True,False
TimeMixer,TrafficFull862,336,862,TrafficFull862TimeMixerOOFDiagnostic35C,0.498642347762079,0.4977751871024624,0.3143314539443401,0.3139193103289484,3.4296784610029816,0.498642347762079,0.4977751871024624,0.4835384574361816,0.0,1.0,0.0212265321363165,0.4160170490626307,0.4152994321625752,0.1724969930132661,0.1739043351429163,0.1311175226723409,0.91415313225058,3.0290027298491826,2,35B,96.4908438483874,0.0005792059401138,0.0012731626780108,True,False
TimeMixer,TrafficFull862,720,862,TrafficFull862TimeMixerOOFDiagnostic35D,0.5320848980115259,0.5321148938887966,0.3268207321282951,0.3268085816259822,3.408964032715746,0.5320848980115259,0.5324182547830142,0.5190521143983758,0.0,0.75,0.024428805093547,0.4561027837390459,0.4554233836937646,0.1489576625057482,-0.0056374231598761,0.0037177881078034,0.660092807424594,2.449380477035784,1,35B,113.06298266251882,-0.0003174320843729,0.0002594643869187,False,False

