Backbone,Dataset,Horizon,Channels,Protocol,TrainingPrecision,OptimizerBackend,SDPABackend,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,RawMeanAlpha,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,SegMoEBestEpoch,SegMoECommit,TestAnchors,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
SegMoE,WeatherFull21,96,21,WeatherFull21SegMoEOOFReranker36D,BF16,AdamW_nonfused,math_only,0.1450168227850863,0.1431306527873184,0.1886523187598445,0.1878701997855639,0.2400171217023142,0.1439723743375329,0.1431306527873184,0.1216209435157335,0.1,1.0,0.1267779998476688,0.1267779998476688,0.3905920066523341,0.3840311816254173,1.6797130804462632,1.3006559939347015,0.4145822216350496,0.7142857142857143,16.133217388182093,10,10,420fb3e22fea229ac685efb00dac0d222c8e48bf,10445,1.055203409989675,0.0012840110393216,0.0025082882918067,True,False
SegMoE,WeatherFull21,192,21,WeatherFull21SegMoEOOFReranker36D,BF16,AdamW_nonfused,math_only,0.1894249036843081,0.1857242269334189,0.2322745690726078,0.2308987881216673,0.3001982857366714,0.1872433494577688,0.1857242269334189,0.1577179397223225,0.1,1.0,0.1491104497899409,0.1491104497899409,0.4614451644833874,0.452707544058535,1.8935338578386909,1.9536379213667945,0.5923080414844829,0.6666666666666666,16.738540363640773,8,10,420fb3e22fea229ac685efb00dac0d222c8e48bf,10349,1.8796492218971248,0.0028205900133156,0.0046678610864583,True,False
SegMoE,WeatherFull21,336,21,WeatherFull21SegMoEOOFReranker36D,BF16,AdamW_nonfused,math_only,0.2422090328317391,0.2360722992694329,0.2740534449040428,0.2725723616488014,0.3577515130571842,0.2376532257184201,0.2360612302244143,0.197607483779422,0.2,0.75,0.1375253003581606,0.1531439743029532,0.5456146702167936,0.5319973085971543,2.4957836295399694,2.533651817423899,0.5404359196287296,0.6190476190476191,18.414486252171045,7,10,420fb3e22fea229ac685efb00dac0d222c8e48bf,10205,3.2160478035608926,0.0047785049982347,0.0075513030164717,True,False
SegMoE,WeatherFull21,720,21,WeatherFull21SegMoEOOFReranker36D,BF16,AdamW_nonfused,math_only,0.3183388763414138,0.3105491910732872,0.3290919562569548,0.3263438009313049,0.4387653991778564,0.3103532255960353,0.31186391434686,0.262683726188439,0.2,0.5,0.1183327939136361,0.1591663985863429,0.6616722921031695,0.6491660635734753,1.8900940358167797,2.446978941953745,0.8350721655147861,0.6190476190476191,17.482988817641424,5,10,420fb3e22fea229ac685efb00dac0d222c8e48bf,9821,6.145952328046163,0.0063654657503937,0.0093697113500734,True,False

