Backbone,Dataset,Horizon,Channels,Protocol,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,RetrieverSource,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
PatchTST,TrafficFull862,96,862,TrafficFull862PatchTSTOOFDiagnostic35E,0.3719117060096196,0.3717644268355507,0.2576900387410405,0.2577253494328512,3.1582835701331136,0.3719117060096196,0.3718264937265671,0.34973516034117,0.0,0.5,0.0066232939353693,0.3210813049711798,0.3210175656107861,0.0198514704552615,0.0396005749991415,-0.0137027771749512,0.9187935034802784,5.962852287278103,2,35A,1828.022343850136,-8.998621978824031e-06,0.0003263104207095,False,False
PatchTST,TrafficFull862,192,862,TrafficFull862PatchTSTOOFDiagnostic35F,0.3917456332311953,0.3914998519686902,0.2652779459879735,0.2652809101389082,3.3238172014802023,0.3917456332311953,0.3914709979613609,0.3737902575363399,0.0,0.75,0.0081248431132789,0.3269429000888312,0.3268274805917648,0.0353026467419779,0.0627400133290118,-0.0011173755600617,0.9037122969837588,4.583427145506629,2,35B,1856.719147408009,0.0001432359989037,0.000341904527691,True,False
PatchTST,TrafficFull862,336,862,TrafficFull862PatchTSTOOFDiagnostic35E,0.406908366789165,0.4067529360430673,0.2723713543362867,0.2724762297710443,3.4296784610029816,0.406908366789165,0.4067594748424148,0.393091465498394,0.0,0.5,0.0056372443077891,0.3434916421472327,0.3433951752131817,0.0280842158044914,0.0381979725126247,-0.0385045758623123,0.6032482598607889,3.3955805332285247,11,35B,1815.1105752428373,7.890919913187637e-05,0.0002210197876933,True,False
PatchTST,TrafficFull862,720,862,TrafficFull862PatchTSTOOFDiagnostic35F,0.4386681230826301,0.4386167986937471,0.2922233471023729,0.2923208931808042,3.408964032715746,0.4386681230826301,0.4389710248579353,0.4271592059697153,0.0,0.25,0.0037811781665076,0.3931545515782899,0.3931029779223506,0.0131179089068894,0.0117000498058502,-0.0333806588003704,0.5533642691415314,2.623604612990528,6,35B,1605.724456210931,2.879157165508195e-05,7.541298161018017e-05,True,False

