Backbone,Dataset,Horizon,Channels,Protocol,OOFFolds,FoldDirectEpochs,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,RawMeanAlpha,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,RetrieverBestEpoch,TestAnchors,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
PatchTST,ElectricityFull321,96,321,Full321OOFCrossFit34D,3,78,0.1296379187669977,0.1285494704724705,0.2227903287574926,0.2227182700745092,1.5341084653009986,0.1296379187669977,0.1285494704724705,0.1198032438055499,0.0,1.0,0.0197260369375685,0.0197260369375685,0.1107439004654502,0.1103440545103339,0.3610546074644162,0.839606424477914,0.0323437212850909,0.5669781931464174,7.586264154027347,13,28,5165,557.9140588204066,0.0006280292569148,0.0016438898432274,True,False
PatchTST,ElectricityFull321,192,321,Full321OOFCrossFit34D,3,38,0.148801832390281,0.1481384596814341,0.2426373333978889,0.2429543635630196,1.5697518864156943,0.148801832390281,0.1482732290296503,0.1404435566648229,0.0,0.75,0.0286843462448494,0.0215132595374047,0.1263468335959264,0.1259342759806174,0.3265278626834158,0.445809502605422,-0.1306600928599661,0.470404984423676,5.6170516123321255,22,29,5069,271.38186798890433,0.0003202408222927,0.0010738589266793,True,False
PatchTST,ElectricityFull321,336,321,Full321OOFCrossFit34D,3,43,0.1653115366389711,0.1639545161763496,0.2592837069076097,0.2593299005846275,1.600688684927631,0.1653115366389711,0.1640570714943375,0.1550004998130497,0.0,0.75,0.0300266578035849,0.0225199933919745,0.1421815338443869,0.1411938622363131,0.6946553334800925,0.8208867270921726,-0.0178158811321713,0.67601246105919,6.237336507517889,35,30,4925,306.8963929692904,0.0010078441653835,0.0017841751757006,True,False
PatchTST,ElectricityFull321,720,321,Full321OOFCrossFit34D,3,40,0.2028593432612604,0.2042231810770793,0.2917692096710881,0.2931043773197361,1.6690764461185472,0.2028593432612604,0.2042231810770793,0.1869450750677691,0.0,1.0,0.0345298120074806,0.0345298120074806,0.1740107434535926,0.1722077154987464,1.0361589859692175,-0.6723071236913386,-0.4576108802409723,0.6791277258566978,7.844976690570999,20,29,4541,285.52827762762706,-0.0031200680794779,0.0004544456200409,False,False

