Backbone,Dataset,Horizon,Channels,Protocol,OOFFolds,FoldDirectEpochs,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,RawMeanAlpha,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,RetrieverBestEpoch,TestAnchors,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
iTransformer,TrafficFull862,96,862,TrafficFull862OOFCrossFitPilot35A,3,9,0.4111624751865889,0.4097479216126922,0.2806010096249042,0.2795653891966414,3.1582835701331136,0.4111624751865889,0.4098365792977015,0.3849237112749599,0.0,0.25,0.0414533819202082,0.010363345480052,0.3796374880791969,0.3791481926341706,0.1288849126839184,0.3440376151191087,0.3690722387803248,0.9825986078886312,6.381604717142919,3,30,3413,172.80736505190532,0.0009699458819032,0.0019120549013057,True,False
iTransformer,TrafficFull862,192,862,TrafficFull862OOFCrossFit35B,3,10,0.4282365687097482,0.4275471366363562,0.2864257248126163,0.2856320951021556,3.3238172014802023,0.4282365687097482,0.4292839582620325,0.4073047021198127,0.0,0.5,0.038328613306647,0.0191643066533235,0.3766137287277611,0.3762051723816851,0.1084815329106812,0.1609932742243773,0.2770804581117537,0.91415313225058,4.8879213311936445,1,29,3317,173.50721839666366,0.0001213927029718,0.0012828366857337,True,False
iTransformer,TrafficFull862,336,862,TrafficFull862OOFCrossFit35B,3,9,0.4443371749152441,0.445558554342592,0.2944810058387463,0.2944687078898649,3.4296784610029816,0.4443371749152441,0.4475004010201313,0.4269929759392363,0.0,0.75,0.0398598965264802,0.0298949224301636,0.38815063827568,0.3872956331784779,0.2202766176040243,-0.274876714418689,0.0041761433292886,0.7935034802784223,3.903386877165107,1,29,3173,163.7355181535085,-0.001933325901557,-0.0005872458261794,False,True
iTransformer,TrafficFull862,720,862,TrafficFull862OOFCrossFit35B,3,9,0.4770733836085278,0.4753258548504211,0.312971908039808,0.3121890899206157,3.408964032715746,0.4770733836085278,0.4753258548504211,0.4620298216854141,0.0,1.0,0.0282242435289511,0.0282242435289511,0.4389276691210852,0.4364299023221568,0.5690611402853556,0.3663018768493395,0.2501240843292287,0.8294663573085846,3.153301450046515,9,29,2789,153.3048476020495,0.0011894640042261,0.0022837363915466,True,False

