Backbone,Dataset,Horizon,Channels,Protocol,OOFFolds,FoldDirectEpochs,Direct_MSE,Final_MSE,Direct_MAE,Final_MAE,Retrieval_MSE,Scalar_MSE,RawAdaptive_MSE,Oracle_MSE,ScalarAlpha,ShrinkLambda,RawMeanAlpha,FinalMeanAlpha,Validation_Direct_MSE,Validation_Final_MSE,Validation_Gain_pct,MSEGain_pct,MAEGain_pct,ImprovedChannelFraction,OracleHeadroom_pct,GateBestEpoch,RetrieverBestEpoch,TestAnchors,RuntimeMinutes,CI_Low,CI_High,SignificantPositive,SignificantNegative
TimeMixer,ElectricityFull321,96,321,Full321OOFCrossFit34C,3,20,0.1568328585310262,0.1562692102331507,0.2478995504474172,0.2478840053460131,1.5341084653009986,0.1568328585310262,0.1562692102331507,0.1462864936774106,0.0,1.0,0.0222575941422398,0.0222575941422398,0.1357144830280008,0.135035956172463,0.4999664298155576,0.3593942641579941,0.0062707259355883,0.7570093457943925,6.724588809002154,38,28,5165,34.38597101767858,0.0003884102052144,0.000723543018896,True,False
TimeMixer,ElectricityFull321,192,321,Full321OOFCrossFit34C,3,20,0.1703962488794926,0.1696083798234445,0.2605183201069985,0.260731170837892,1.5697518864156943,0.1703962488794926,0.1696083798234445,0.160964453164446,0.0,1.0,0.0256507661551362,0.0256507661551362,0.1461526913984949,0.1452484626611564,0.6186877085096512,0.4623746480506918,-0.081702788044243,0.8068535825545171,5.535213232139262,40,29,5069,36.63508200248082,0.000609909133972,0.0009757898176523,True,False
TimeMixer,ElectricityFull321,336,321,Full321OOFCrossFit34C,3,20,0.1862308107587,0.1846387295873135,0.2764935298804709,0.2767959102086647,1.600688684927631,0.1862308107587,0.1847765564975664,0.1751917613653076,0.0,0.75,0.0338195308412216,0.0253646481375518,0.1605580232146469,0.1596758660012959,0.5494320344064568,0.854896762195491,-0.1093625331212853,0.7570093457943925,5.927617105042695,31,30,4925,40.21234226624171,0.0012050111145915,0.0020578282092352,True,False
TimeMixer,ElectricityFull321,720,321,Full321OOFCrossFit34C,3,18,0.2267836151546896,0.2261249211803285,0.310885006557952,0.311662019798137,1.6690764461185472,0.2267836151546896,0.2284849077804484,0.210535088710529,0.0,0.75,0.0351454005119484,0.0263590504474235,0.1947418234970517,0.1926425529443,1.0779762225978933,0.2904504251384102,-0.2499359003471879,0.8504672897196262,7.164770890999951,22,29,4541,42.18119279543559,-0.0003990954179886,0.0016736296031593,False,False

